"","x"
"1",0
"2",0
"3",-0.0240791636130119
"4",-0.500543696463641
"5",-0.765533317437386
"6",-0.82555382964183
"7",0.0679024586790989
"8",2.0874756815453
"9",5.29135381106322
"10",9.12384192750392
"11",14.6404335715044
"12",21.5368211262739
"13",29.4214079200061
"14",38.0797672620095
"15",48.2243867048393
"16",58.9312821061457
"17",70.3325053458475
"18",82.2937043802304
"19",95.1557827075221
"20",108.73564611194
"21",122.963564055207
"22",137.818180210137
"23",153.241086718852
"24",169.310347579545
"25",185.442363747495
"26",201.284520472145
"27",216.565337044869
"28",231.613270148282
"29",246.537589244435
"30",260.930493522862
"31",274.524314405382
"32",288.050401673623
"33",302.63328478481
"34",318.117420876682
"35",334.551711750165
"36",351.880191030729
"37",370.778767546693
"38",390.963355288491
"39",412.296763332196
"40",434.374811025432
"41",456.974770716307
"42",479.53991405216
"43",502.555235763498
"44",526.054596547047
"45",550.390079573239
"46",575.787080670522
"47",602.850137435885
"48",631.407538639712
"49",662.210576035609
"50",694.679102512389
"51",728.299061033066
"52",762.575641711699
"53",797.689787412316
"54",833.426809272978
"55",869.336324124804
"56",905.246901626562
"57",941.977702332862
"58",980.072528329239
"59",1019.26458341211
"60",1058.71897111515
"61",1098.7253179574
"62",1139.43414509161
"63",1179.81757094686
"64",1219.35944608886
"65",1258.13181209598
"66",1295.72786301975
"67",1332.5166346562
"68",1369.40844195524
"69",1406.77608246042
"70",1445.14994260262
"71",1484.87595206817
"72",1525.91049051814
"73",1567.55578248223
"74",1610.50317516281
"75",1654.44894051715
"76",1699.80253922757
"77",1746.21189974982
"78",1793.78167991986
"79",1842.87460819644
"80",1893.94128167624
"81",1947.03378939777
"82",2001.60934576271
"83",2057.01788598972
"84",2113.86131579194
"85",2172.82603784026
"86",2233.47067181745
"87",2295.78305577906
"88",2360.140473081
"89",2425.72447848514
"90",2492.58903009729
"91",2560.00860877301
"92",2627.90519100671
"93",2694.94965893
"94",2761.45200522987
"95",2826.94819933314
"96",2891.91827283256
"97",2956.94712580613
"98",3022.7268719472
"99",3089.05194733161
"100",3156.02547287904
"101",3223.74801079999
"102",3291.28937357193
"103",3357.56538431381
"104",3422.15364075195
"105",3484.26624409052
"106",3543.89172039205
