"","x"
"1",0
"2",0
"3",0.190664373682744
"4",-0.908612619918941
"5",-0.354670991821107
"6",-1.74209034677297
"7",-2.32504966723837
"8",-4.1090680429272
"9",-4.24168114570973
"10",-4.17286323187348
"11",-6.35715558299656
"12",-6.41629573228459
"13",-9.10767819684309
"14",-11.8284627986138
"15",-13.1401965212811
"16",-15.1007712164511
"17",-15.9422238393362
"18",-18.4416344336946
"19",-20.9574475314
"20",-23.9473142089748
"21",-27.3742007775694
"22",-31.2284492879484
"23",-34.4774602735671
"24",-38.0520301160694
"25",-42.9913992097904
"26",-48.5573340687402
"27",-54.1476963239006
"28",-60.7869278851739
"29",-67.3559615850986
"30",-75.4781541005234
"31",-83.4063757018658
"32",-91.2938779818359
"33",-98.7417999516348
"34",-105.876981337663
"35",-114.058356376278
"36",-123.37580905442
"37",-133.217446392682
"38",-141.459566035795
"39",-147.719178306833
"40",-154.018884926247
"41",-159.163083939804
"42",-165.206602202369
"43",-170.776791640488
"44",-175.574781466756
"45",-178.448927541144
"46",-178.602381311358
"47",-176.286945201918
"48",-172.99557244032
"49",-168.583181236712
"50",-163.845361347733
"51",-156.50255115162
"52",-148.291198440923
"53",-137.893085660076
"54",-125.69694607085
"55",-114.649077381483
"56",-101.875320286891
"57",-89.4118611685286
"58",-77.8315262473057
"59",-66.4985054456543
"60",-57.6787985547157
"61",-47.8303352745497
"62",-39.415351661762
"63",-30.9040087595542
"64",-22.7000527989161
"65",-16.6456961785072
"66",-11.9406959754074
"67",-7.62768816677224
"68",-5.64088056154385
"69",-2.6790668945624
"70",1.0689958702896
"71",3.76906682030597
"72",8.00384961933655
"73",11.7176985630238
"74",13.8373149109202
"75",16.2329171493558
"76",17.7317653315983
"77",20.2228058737819
"78",22.8839948749038
"79",25.5912263809702
"80",27.8874082078641
"81",29.8838582632722
"82",29.9295456076722
"83",32.0734013686576
"84",34.1680150238132
"85",34.8437081377763
"86",35.5640241255609
"87",34.5155734884795
"88",32.1158656166316
"89",29.3938015834038
"90",26.7770193946728
"91",24.7415910724091
"92",20.9643917343281
"93",18.4197530823348
"94",13.4711918197989
"95",8.53021545084908
"96",2.12429079079093
"97",-5.19141694228535
"98",-13.0323750820864
"99",-21.1411283533431
